"","gens","D_Female_Pred","D_D_Allele_Pred","D_W_Allele_Pred","D_R_Allele_Pred","D_B_Allele_Pred","I_Female_Pred","I_D_Allele_Pred","I_W_Allele_Pred","I_R_Allele_Pred","I_B_Allele_Pred"
"1",1,0.4,0.1,0.9,0,0,0.4,0.1,0.9,0,0
"2",2,0.342333333333333,0.157666666666667,0.833333333333333,0.00297,0.00603,0.335,0.165,0.833333333333333,0.000550000000000001,0.00111666666666667
"3",3,0.351417545931094,0.149152666666667,0.831260791950665,0.00646355865628043,0.0131229827263875,0.336781320228027,0.16335,0.832922885572139,0.00122994776119403,0.00249716666666667
"4",4,0.360542633246989,0.140684267211051,0.828683915520472,0.010452945806684,0.0201788714617935,0.338702677231506,0.161616932112559,0.832329571111099,0.00206570456070848,0.00398779221563393
"5",5,0.369539359032356,0.132250502894551,0.82570003913706,0.0149122202048367,0.0271372377635522,0.340759713737075,0.159781480542753,0.83152092003522,0.00308796231584519,0.00560963710618147
"6",6,0.378336382687766,0.123911075381981,0.822438432463769,0.0198014953292282,0.0338489968250213,0.342963981572074,0.157836585964541,0.830468430656103,0.0043320134223682,0.00736296995698696
"7",7,0.386861441040251,0.115734935390319,0.819004774249616,0.0250681127474349,0.0401921776126294,0.345324778134198,0.155777642611404,0.829136360378931,0.00583789654642229,0.00924810046324256
"8",8,0.395053656952502,0.10778622407406,0.815496868799505,0.0306501324229203,0.0460667747035148,0.347850711107028,0.153600752779603,0.827486206312661,0.00765043179883039,0.0112626091089059
"9",9,0.40286473893203,0.100121642395733,0.811998853764303,0.0364801914335902,0.0513993124063741,0.350549095282647,0.15130314063216,0.825476595175957,0.00981904904003825,0.013401215151844
"10",10,0.410259754911987,0.0927880342408668,0.808579299549443,0.042489210589437,0.0561434556202529,0.353425548166943,0.148883335514787,0.82306388645594,0.0123973576804296,0.0156554203488434
"11",11,0.417216706567585,0.0858211472178459,0.805290907143278,0.0486096148678444,0.0602783307710319,0.356483548472859,0.146341362223156,0.820202951803801,0.0154424127044187,0.0180132732686246
"12",12,0.423725312204942,0.0792454131266624,0.802171530407812,0.0547778790820097,0.0638051773835156,0.35972400963395,0.143678899037193,0.816848196375292,0.0190136456058714,0.0204592589816435
